%time,field.x,field.y,field.theta
1756447772628441782,2.7077804421719387,-2.9768792983910584,1.4495218172173097
1756447772654335144,2.7152264119563188,-2.965818769578232,-1.8142438840120825
1756447772681877724,2.7152264119563188,-2.965818769578232,1.4495218172173097
1756447772706089369,2.700334472387558,-2.987939827203885,-1.7967905914921403
1756447772733975102,2.700334472387558,-2.987939827203885,1.4146152321774252
1756447772759071153,2.700334472387558,-2.987939827203885,-1.7967905914921403
1756447772785050133,2.700334472387558,-2.987939827203885,1.4320685246973675
1756447772813397932,2.700334472387558,-2.987939827203885,-1.7967905914921403
1756447772839782297,2.7039490314160037,-3.006446325801092,1.4320685246973675
1756447772865655817,2.7077804421719387,-2.9768792983910584,-1.8142438840120825
1756447772892824996,2.7077804421719387,-2.9768792983910584,1.4320685246973675
1756447772922332387,2.7077804421719387,-2.9768792983910584,-1.8142438840120825
1756447772954820437,2.7077804421719387,-2.9768792983910584,1.4146152321774252
1756447772987721005,2.7012331234061153,-2.9871651414050926,-1.7960421326163853
1756447773022301729,2.7012331234061153,-2.9871651414050926,1.4502702760930646
1756447773058666417,2.7012331234061153,-2.9871651414050926,-1.7960421326163853
1756447773090905728,2.7012331234061153,-2.9871651414050926,1.4502702760930646
1756447773123503208,2.7012331234061153,-2.9871651414050926,-1.7960421326163853
1756447773159314723,2.7012331234061153,-2.9871651414050926,1.4328169835731224
1756447773188710851,2.7012331234061153,-2.9871651414050926,-1.7960421326163853
1756447773222127606,2.7012331234061153,-2.9871651414050926,1.4328169835731224
1756447773255335555,2.7012331234061153,-2.9871651414050926,-1.7785888400964396
1756447773284030483,2.7012331234061153,-2.9871651414050926,1.4502702760930646
1756447773319417814,2.7012331234061153,-2.9871651414050926,-1.7436822550565552
1756447773357487288,2.7012331234061153,-2.9871651414050926,1.4677235686130103
1756447773425689999,2.7012331234061153,-2.9871651414050926,-1.7611355475764974
1756447773472955172,2.7012331234061153,-2.9871651414050926,1.4328169835731224
1756447773503496370,2.708776448481381,-2.9781161825832534,-1.7631356113891137
