%time,field.x,field.y,field.theta
1757045311180990972,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311190556085,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311200890329,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311210669876,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311220910524,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311231245480,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311240754170,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311250587780,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311261186877,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311270655677,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311280964969,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311291144439,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311301268967,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311311193762,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311320512001,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311330959700,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311341102448,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311350856502,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311360942842,2.9580033777625427,-2.3768282136076144,-27.242915159839264
1757045311369453856,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311370809999,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311380903781,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311391493285,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311400652148,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311411128884,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311420492903,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311430842893,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311440695004,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311451012121,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311460990893,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311470966241,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311481133924,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311490569892,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311500773137,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311511344709,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311520802773,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311530784646,2.9582418681564686,-2.3769962654989882,-27.243187337246336
1757045311541854674,2.9582418681564686,-2.3769962654989882,-27.243187337246336
